ID	stage	tx	len	wt
230	Male	Fr	13.1	0.0060
5	Male	Fr	13.2	0.0025
100	Male	Pr	13.2	0.0072
183	Male	Fr	13.2	0.0041
231	Male	Pr	13.2	0.0068
215	Male	Pr	13.3	0.0074
8	Fem	Pr	13.3	0.0063
60	Male	Pr	13.3	0.0083
152	Male	Pr	13.3	0.0076
234	Fem	Fr	13.4	0.0049
189	Fem	Pr	13.4	0.0073
44	Male	Fr	13.4	NA
156	Grav	Fr	13.5	0.0050
3	Fem	Fr	13.6	0.0037
14	Fem	Fr	13.6	NA
116	Male	Fr	13.6	0.0037
13	Fem	Pr	13.7	0.0079
150	Fem	Fr	13.7	0.0048
11	Grav	Fr	13.7	0.0035
200	Grav	Fr	13.7	0.0063
213	Grav	Pr	13.7	0.0075
220	Grav	Fr	13.8	0.0070
47	Fem	Pr	13.8	0.0075
110	Fem	Fr	13.8	0.0045
12	Male	Pr	13.8	0.0069
93	Fem	Pr	13.9	0.0088
179	Grav	Pr	13.9	0.0086
45	Male	Pr	13.9	0.0074
126	Male	Pr	13.9	0.0090
140	Male	Fr	13.9	0.0064
58	Fem	Fr	14.0	0.0041
114	Fem	Pr	14.0	NA
158	Fem	Pr	14.0	0.0090
174	Fem	Fr	14.0	0.0042
128	Grav	Pr	14.0	0.0090
204	Grav	Pr	14.0	0.0093
94	Male	Fr	14.0	0.0068
112	Male	Pr	14.0	0.0082
120	Male	Fr	14.0	0.0040
216	Grav	Fr	14.1	0.0055
53	Fem	Pr	14.1	0.0092
115	Male	Pr	14.1	0.0096
118	Male	Pr	14.1	0.0073
171	Male	Pr	14.1	0.0086
1	Fem	Fr	14.2	0.0035
175	Fem	Pr	14.2	0.0083
96	Male	Fr	14.2	0.0044
195	Male	Fr	14.2	0.0055
138	Fem	Pr	14.3	0.0097
167	Fem	Pr	14.3	0.0097
176	Fem	Pr	14.3	0.0069
177	Grav	Fr	14.3	0.0076
55	Male	Fr	14.3	0.0044
102	Male	Pr	14.3	0.0078
129	Male	Pr	14.3	0.0099
178	Male	Pr	14.3	0.0085
180	Male	Fr	14.3	0.0050
199	Male	Pr	14.3	0.0098
221	Grav	Pr	14.4	0.0094
52	Fem	Pr	14.4	0.0088
98	Fem	Pr	14.4	0.0102
111	Fem	Pr	14.4	0.0078
136	Fem	Fr	14.4	0.0069
154	Fem	Fr	14.4	0.0047
186	Grav	Fr	14.4	0.0075
145	Male	Fr	14.4	0.0074
18	Fem	Fr	14.5	0.0059
48	Fem	Fr	14.5	0.0043
107	Fem	Pr	14.5	0.0079
125	Fem	Pr	14.5	0.0101
147	Fem	Pr	14.5	0.0113
157	Fem	Pr	14.5	0.0094
165	Fem	Fr	14.5	0.0071
16	Male	Fr	14.5	0.0049
99	Male	Fr	14.5	0.0074
193	Male	Fr	14.5	0.0048
108	Fem	Fr	14.6	0.0080
123	Fem	Fr	14.6	0.0059
197	Grav	Fr	14.6	0.0050
50	Male	Pr	14.6	0.0074
117	Male	Pr	14.6	0.0096
153	Male	Pr	14.6	0.0105
161	Male	Fr	14.6	0.0064
173	Male	Pr	14.6	0.0107
205	Male	Pr	14.6	0.0088
210	Grav	Fr	14.7	0.0078
46	Fem	Fr	14.7	NA
57	Fem	Fr	14.7	0.0065
188	Grav	Pr	14.7	0.0083
95	Male	Fr	14.7	0.0058
170	Male	Pr	14.7	0.0086
103	Fem	Pr	14.8	0.0097
149	Fem	Fr	14.8	0.0044
142	Grav	Pr	14.8	0.0117
187	Grav	Fr	14.8	0.0049
144	Male	Fr	14.8	0.0053
206	Male	Pr	14.8	0.0101
139	Grav	Pr	14.9	0.0096
146	Male	Pr	14.9	0.0098
166	Male	Fr	14.9	0.0054
196	Male	Fr	14.9	0.0074
194	Grav	Pr	15.0	0.0100
61	Fem	Fr	15.1	0.0065
131	Fem	Fr	15.1	0.0061
132	Fem	Fr	15.1	0.0067
7	Grav	Fr	15.1	0.0125
141	Grav	Fr	15.1	0.0065
155	Grav	Pr	15.1	0.0099
203	Male	Pr	15.1	0.0108
229	Male	Fr	15.2	NA
109	Fem	Fr	15.2	0.0049
169	Fem	Fr	15.2	0.0058
192	Male	Fr	15.2	0.0083
227	Grav	Pr	15.2	0.0125
113	Fem	Fr	15.3	0.0049
10	Grav	Fr	15.3	0.0074
185	Grav	Pr	15.3	0.0089
85	Male	Fr	15.4	0.0050
97	Fem	Fr	15.7	0.0080
134	Fem	Pr	15.7	0.0122
168	Fem	Pr	15.7	0.0109
51	Male	Fr	15.7	0.0088
207	Male	Fr	15.7	0.0050
105	Male	Fr	15.8	0.0095
219	Grav	Pr	16.0	0.0106
2	Fem	Fr	16.1	0.0083
148	Fem	Pr	16.2	0.0126
151	Fem	Fr	16.2	0.0064
54	Fem	Pr	16.5	0.0129
184	Fem	Fr	16.6	0.0080
224	Grav	Fr	16.6	0.0089
218	Grav	Pr	16.7	0.0141
225	Grav	Fr	16.7	0.0095
127	Fem	Pr	16.7	0.0135
160	Grav	Fr	16.8	0.0117
222	Fem	Fr	16.8	0.0075
208	Fem	Pr	16.9	0.0145
6	Fem	Fr	17.0	0.0082
9	Fem	Fr	17.1	0.0098
223	Grav	Fr	17.5	0.0095
135	Fem	Pr	17.6	NA
228	Grav	Pr	17.9	0.0158
137	Grav	Fr	17.9	0.0108
211	Fem	Pr	18.0	0.0176
212	Fem	Fr	18.1	0.0122
202	Fem	Fr	18.3	0.0111
